name_a,name_b,severity,mechanism,source,url
warfarin,aspirin,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=aspirin
warfarin,clopidogrel,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=clopidogrel
warfarin,ticagrelor,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ticagrelor
warfarin,prasugrel,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=prasugrel
heparin,aspirin,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=aspirin
heparin,clopidogrel,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=clopidogrel
heparin,ticagrelor,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ticagrelor
heparin,prasugrel,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=prasugrel
enoxaparin,aspirin,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=aspirin
enoxaparin,clopidogrel,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=clopidogrel
enoxaparin,ticagrelor,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ticagrelor
enoxaparin,prasugrel,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=prasugrel
dabigatran,aspirin,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=aspirin
dabigatran,clopidogrel,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=clopidogrel
dabigatran,ticagrelor,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ticagrelor
dabigatran,prasugrel,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=prasugrel
rivaroxaban,aspirin,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=aspirin
rivaroxaban,clopidogrel,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=clopidogrel
rivaroxaban,ticagrelor,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ticagrelor
rivaroxaban,prasugrel,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=prasugrel
apixaban,aspirin,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=aspirin
apixaban,clopidogrel,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=clopidogrel
apixaban,ticagrelor,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ticagrelor
apixaban,prasugrel,major,"Combined anticoagulant and antiplatelet therapy inhibits both the coagulation cascade and platelet aggregation, substantially raising major bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=prasugrel
warfarin,ibuprofen,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ibuprofen
warfarin,diclofenac,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=diclofenac
warfarin,naproxen,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=naproxen
warfarin,aceclofenac,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=aceclofenac
warfarin,mefenamic acid,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=mefenamic+acid
warfarin,nimesulide,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=nimesulide
warfarin,indomethacin,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=indomethacin
warfarin,piroxicam,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=piroxicam
heparin,ibuprofen,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=ibuprofen
heparin,diclofenac,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=diclofenac
heparin,naproxen,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=naproxen
heparin,aceclofenac,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=aceclofenac
heparin,mefenamic acid,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=mefenamic+acid
heparin,nimesulide,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=nimesulide
heparin,indomethacin,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=indomethacin
heparin,piroxicam,major,"NSAIDs impair platelet function and irritate the gastric mucosa, and can displace warfarin from plasma proteins, increasing free anticoagulant activity and GI bleeding risk.","pharmacology reference (class-effect, curated)",https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=piroxicam
